x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,490
1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,317
2,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,819
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,613
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386
2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456
4,0,3,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,187
32,5,17,2,6,9,1,4,2,1,0,22,4,1,4,6,2,5,3,2,223
2,0,2,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,387
6,0,5,0,0,1,0,0,0,0,0,4,2,0,0,1,0,2,1,0,450
5,0,4,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,816
6,0,6,0,0,1,0,0,0,0,0,5,3,0,0,3,0,1,0,0,902
7,0,5,1,0,2,0,0,0,0,1,5,1,1,0,3,2,1,0,0,1966
3,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,3324
5,0,3,0,2,1,0,0,0,0,0,1,1,0,2,0,0,1,1,0,5497
20,0,14,0,0,9,1,2,1,3,2,12,3,0,2,6,1,1,3,4,15193
18,0,16,0,0,3,0,1,0,0,0,8,6,1,1,2,1,1,3,2,10818
13,0,10,1,0,1,0,1,0,2,0,4,4,2,1,2,0,2,3,0,3589
9,0,5,0,0,4,2,0,0,1,1,4,0,0,1,1,0,3,0,1,1342
13,0,11,0,0,3,0,2,0,3,1,7,3,1,1,0,0,1,2,2,6836
24,0,14,1,1,8,0,0,0,2,1,15,3,1,2,9,1,3,1,2,7024
14,0,11,2,0,1,0,2,0,5,0,10,4,1,1,1,0,1,0,0,3313
15,0,6,1,1,4,0,1,0,2,0,9,5,0,1,3,2,1,1,1,2097
